t sigx_gt0 sigx_gt1 sigx_gt2 sigx_gt3 sigx_gt4 sigx_gt5 sigy_gt0 sigy_gt1 sigy_gt2 sigy_gt3 sigy_gt4 sigy_gt5 sigx_pr0 sigx_pr1 sigx_pr2 sigx_pr3 sigx_pr4 sigx_pr5 sigy_pr0 sigy_pr1 sigy_pr2 sigy_pr3 sigy_pr4 sigy_pr5
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.163336342344337e-17 4.163336342344337e-17 4.163336342344337e-17 4.163336342344337e-17 4.163336342344337e-17 4.163336342344337e-17 4.85722573273506e-17 4.85722573273506e-17 4.85722573273506e-17 4.85722573273506e-17 4.85722573273506e-17 4.85722573273506e-17
1.0 -30.127924601779306 -19.50120432037023 -9.833558235150235 2.2962004581798245 14.025157980624698 13.705073253834971 -30.127924601779306 -9.963701899197739 9.490008489933103 4.661433416113153 14.025157980624698 13.705073253834971 -22.68025569938809 -13.252193639635093 -6.643314699883689 1.1960230703810444 9.229142556586265 8.97951828272668 -22.68025569938809 -6.798543463416086 6.429813657859377 2.420547820416119 9.229142556586265 8.97951828272668
2.0 -62.88759695071402 -39.26051414397742 -19.80432078953016 4.481624179565831 27.1228698676949 26.514706608085014 -62.88759695071402 -20.636727081094328 18.374391151059374 9.160900953429838 27.1228698676949 26.514706608085014 -53.844475606302396 -30.51428138289916 -15.242320673411076 2.6845517118892985 20.341688241728686 19.80740406622538 -53.844475606302396 -16.123146950842504 14.249585316938177 5.477658763780733 20.34168824172869 19.80740406622538
3.0 -99.18995687009456 -59.465227524492434 -29.988232417141596 6.5648356206298155 39.41882977743934 38.54828839007399 -99.18995687009456 -32.12974833674692 26.644895439395107 13.508343380912711 39.41882977743934 38.54828839007399 -91.29661851435912 -49.85289553636238 -24.792619277296012 4.28204931850715 31.772848627743315 30.957778413494307 -91.29661851435912 -27.111145133551876 22.30811455056205 8.806212743285315 31.772848627743315 30.957778413494303
4.0 -140.11644279277036 -80.3061428807446 -40.45838527930908 8.553276213123862 51.010817336570085 49.899008919870575 -140.11644279277036 -44.570866106949616 34.27724218968254 17.71266617686748 51.010817336570085 49.899008919870575 -135.3061555748014 -70.93446506073154 -35.10507902634392 5.923582199420153 43.15893883538307 42.07334153583393 -135.3061555748014 -39.66379370303051 30.258457610845433 12.275231632011792 43.15893883538307 42.07334153583394
5.0 -186.9227819319895 -101.98514261708257 -51.289565047113044 10.453748118047885 61.97665100144461 60.6413390824755 -186.9227819319895 -58.10903609863568 41.232466246989915 21.782216348482383 61.97665100144461 60.6413390824755 -186.46507868351793 -93.70064279159988 -46.13914008503504 7.578478605478682 54.3523585152719 53.00743757245998 -186.46507868351793 -53.812462373872734 37.879282378290405 15.821166766072764 54.352358515271916 53.00743757245998
6.0 -240.99800028327112 -124.7223758885524 -62.562728913260514 12.2721443360031 72.37972966500271 70.83606899208144 -240.99800028327112 -72.91821167281496 47.45723781602809 25.72450433857461 72.37972966500271 70.83606899208144 -245.36961926590357 -118.20390382446374 -57.91450515373387 9.22751606660557 65.27684350988514 63.684956952553534 -245.36961926590357 -69.64431355499143 44.98483329869525 19.402644697016182 65.27684350988514 63.68495695255354
7.0 -303.7776071096688 -148.76384630950824 -74.36877239613094 14.013778194060405 82.27256949340799 80.53372567732924 -303.7776071096688 -89.20267007032595 52.88409115037978 29.54652572735983 82.27256949340799 80.53372567732924 -312.6689883713084 -144.57104677588853 -70.49675150891434 10.859030673347476 75.88923071447876 74.06251228748806 -312.6689883713084 -87.29018254907828 51.40688942716721 22.99310421126456 75.88923071447874 74.06251228748806
8.0 -376.6435840384182 -174.3899228603981 -86.81331358489524 15.683563134532985 91.69931256478336 89.77692003229942 -376.6435840384182 -107.20369902324725 57.43008480020846 33.254932577941446 91.69931256478336 89.77692003229942 -389.2099347796144 -172.96850674303877 -83.983194736124 12.465619978986322 86.16829986266313 84.11827790412259 -389.20993477961434 -106.90991023286261 56.97843009977781 26.57443887703565 86.16829986266313 84.1182779041226
9.0 -460.91018520642393 -201.92566229846284 -100.02206770540593 17.285865342871052 100.698463260907 98.60219755662499 -460.91018520642393 -127.2083881312418 60.99438241828274 36.855874363721924 100.698463260907 98.60219755662499 -476.35105859061593 -203.60963741557575 -98.49934947996019 14.041998977573508 96.10446920339331 93.84213531154717 -476.35105859061593 -128.70159443905078 61.52762288989342 30.132786355472767 96.10446920339331 93.84213531154717
